Estimate,Description,Units,Aggregation,Data Item,Commodity
Year,Calendar year of survey estimate,Calendar year,,Year,
Period,Calendar month of survey estimate,Calendar month,,Period,
Milk Cows,"Heads of milk-producing cattle. It is unclear why the ""Data Item"" includes the aggregation ""AVG""",Heads of cattle,"Unclear, presumably sum of state counts but the ""Data Item"" name icludes ""AVG"" which is confusing","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",CATTLE
Milk Production Lbs,Total pounds of milk produced,Lbs,Total,"MILK - PRODUCTION, MEASURED IN LB",MILK
Milk Per Cow,Total pounds of milk produced divided by number of milk producing cows,Lbs per cattle-head,Average,"MILK - PRODUCTION, MEASURED IN LB / HEAD",MILK
Month,Calendar month as integer,Calendar month,,Month,
